2020,avg_rating,annual_rain,difficulty_rating,avg_rating,annual_snow
448405,4.5,516.43,3,4.5,126.63
6705,4.5,398.06,3,4.5,382.585
48543,4.5,847.36,1,4.5,0.0
3289638,5.0,338.67,3,5.0,458.248
287477,4.5,278.39,3,4.5,108.675
415077,5.0,355.03,3,5.0,280.693
34162,4.5,178.65,1,4.5,225.372
1698864,5.0,320.61,5,5.0,225.113
1666265,5.0,1076.83,5,5.0,49.371
486021,4.0,1064.08,1,4.0,37.009
820023,4.5,79.63,1,4.5,0.525
115882,5.0,1828.43,5,5.0,1042.097
1160754,4.5,639.91,3,4.5,720.041
3806306,4.5,311.17,3,4.5,314.363
119306,4.0,1125.75,1,4.0,2.24
2268313,5.0,682.85,3,5.0,216.02
183835,5.0,275.69,1,5.0,13.755
151256,5.0,219.85,5,5.0,10.584
2897098,5.0,254.03,5,5.0,56.833
290392,4.5,1319.94,3,4.5,24.171
762226,4.5,220.19,3,4.5,1.988
3591254,5.0,247.55,5,5.0,33.936
916932,4.5,371.66,3,4.5,87.535
6493,4.0,516.16,5,4.0,148.911
1464655,5.0,223.35,3,5.0,165.417
16574,4.5,329.41,5,4.5,0.413
2669034,5.0,955.82,5,5.0,149.891
40277,4.0,1176.51,1,4.0,0.0
319147,5.0,1837.89,3,5.0,0.0
2293106,4.5,945.66,3,4.5,84.161
2399542,4.5,125.23,3,4.5,8.099
493914,4.5,170.1,1,4.5,59.577
3305199,4.5,255.65,3,4.5,257.348
120248,5.0,163.05,5,5.0,129.115
393907,5.0,189.87,3,5.0,4.452
